File Name,Contributors,Publication Link,C1,k1,k2,alpha,RMSE,NRMSE,R2 ,Tissue,Species,Sourcing,SamplePreservation,Testing Module,Individual/Averaged,Optimization,Method,Initial Guess,Bounds,Experimental Details
"('PigHeartWallRight08_4.csv',)",Testing,Testing,-2.0371879775368833,4.093687037853331,0.1081018520926492,0.970771279623908,0.5936495701935883,0.02260910792446886,0.9936701014857015,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallRight07_4.csv',)",Testing,Testing,1.945189929948638,0.48640960415594037,2.5076491199067985,0.896436983449789,0.7142185668216895,0.019300859760375114,0.9946952342799,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallRight06_4.csv',)",Testing,Testing,30.746974941918552,-18.721266069956908,-2.743964620561425,2.4684215051590783,3.739691421039045,0.09448613010788814,0.9098561035682801,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallRight05_4.csv',)",Testing,Testing,-2.3626660090085205,3.9264912056100294,0.6387326917815596,0.7196321257733053,0.6587634555031456,0.014390527698220128,0.9977365147221409,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallRight04_4.csv',)",Testing,Testing,0.7279310034211172,1.4630172584511767,1.2427118563862851,2.3287157476899107,0.810226870723356,0.023021093959875363,0.9937235320676594,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallMid_07_4.csv',)",Testing,Testing,-1.9205984049145288,3.8461814247831203,-0.48052778065006896,0.6572939607779145,0.2916863957885957,0.021243622344419594,0.9950672629309304,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallMid_06_4.csv',)",Testing,Testing,-2.745039986478083,4.864067012113979,-1.0307001650399905,0.5949979859206365,0.5072232519458497,0.06350501414381328,0.9493602203953326,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallMid_05_4.csv',)",Testing,Testing,-1.1213159765403733,3.784099914224581,-0.5942801990083156,0.7424551646854922,0.33255628830741135,0.0235036174175458,0.9946645981532272,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHearWallMid_04_4.csv',)",Testing,Testing,-2.499914668548964,4.7328286706033325,-0.8701074316849041,0.6151146935160624,0.5370228069250188,0.05339126481678809,0.9617434259360684,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallMid02_3.csv',)",Testing,Testing,-0.5155526261036452,2.6944471974999855,0.02002636078071192,0.9001317833705994,0.25216915165873055,0.027566258159253232,0.9915519093170881,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallMid01_3.csv',)",Testing,Testing,-0.08115031113407102,1.5056280482988909,1.4497026351461617,2.209122121931666,0.3010205225796968,0.02937591051133024,0.9906554040052254,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallLV8_3.csv',)",Testing,Testing,-1.4188539231514237,2.5339331672342422,1.2794778662831738,0.8563058437354631,0.18250756414468616,0.018555661023782914,0.9965693238512698,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallLV7_3.csv',)",Testing,Testing,-1.1464219236000863,1.6687189022034465,0.9422213419301947,2.2482692416663124,0.17895896242910359,0.020803602585916618,0.9956901840719734,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallLV6_3.csv',)",Testing,Testing,-1.3574592415592266,2.597960914722555,0.012629301979210203,0.7256517653887139,0.13335604010585606,0.01615939051484984,0.9974602522465666,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallLV5_3.csv',)",Testing,Testing,-1.6308021644729296,2.354035525165229,0.5796282153632628,0.7613996107191339,0.21962111573977827,0.022647028137998026,0.9950276834371348,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('PigHeartWallLV4_3.csv',)",Testing,Testing,3.956923025568645,-3.0739630683288652,-3.820343288854547,-0.7411021132666108,0.15954694743161307,0.0483401347895876,0.9738743842417829,cardiac,porcine,slaughterhouse,fresh,PBT,individual,Min-UB,CG,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Testing
"('SheepSclera_08_truncated.csv',)",Test,Test,0.10755937056235942,0.0807245061244096,0,-0.017629696624723974,0.04345201660992046,0.144332316562137,0.7133167106301417,other,ovine,butcher,fresh,PBT,individual,Min-B,Nelder-Mead,"[0.01, 0.01, 0.01, 0.01]","[[0, 100], [0, 100], [0, 100], [-3.14, 3.14]]",Test
