File Name,Contributors,Publication Link,c10,c20,c30,RMSE,NRMSE,R2 ,Tissue,Species,Sourcing,SamplePreservation,Testing Module,Individual/Averaged,Optimization,Method,Initial Guess,Bounds,Experimental Details
"('bovine_lateral_meniscus_circumferential_ai_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,13.113528786550491,570.4472794826613,2.126132884158725e-05,0.40531827498023953,0.03175129549864527,0.9892608964577713,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_ao_02_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,0.09983431793086175,173.2018135356638,1.91422167578513e-06,0.23154549772832064,0.020341247746904496,0.9956674974321166,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_aq_02_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,4.987835991557346,430.93374284320225,1.625967946738139e-05,0.22529732990058782,0.037436723099553454,0.9856774593362605,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_be_02_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,10.692496939919646,336.7958607861247,1.03703322809576e-06,0.48630168813367514,0.0372176624406532,0.9851697595045468,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_bk_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,6.028422401188694,576.9006476479333,2.42747628117016e-06,0.4567535443762844,0.03458277214891714,0.9876599670448728,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_bu_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,4.600312988172857,233.00699417339484,4.2751204423259e-07,0.3744068874377557,0.026458975846690238,0.9924704268033488,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_cc_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,5.972336441134674,338.4681167125999,1.555899904432709e-05,0.38044580537297035,0.034934204785940795,0.9875724499216286,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_ch_02_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,5.550172003186062,547.5198380963486,1.539909524593241e-05,0.36456627088275384,0.032165639569758195,0.9891650282405688,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_lateral_meniscus_circumferential_ci_02_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,12.48791288956116,385.87758315176404,3.52896028422947e-06,0.4651232292775254,0.03403714200045278,0.9879000900143833,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('Bovine_lateral_meniscus_circumferential_CL_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,1.5619192203457768,216.34551875439445,7.66114872195347e-06,0.08575024029454056,0.011226337716842666,0.9985565140820727,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_medial_meniscus_circumferential_ay_02_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,7.434782035445731,330.1163625268034,2.536370231012699e-05,0.43009233507960926,0.03452141671919874,0.9872992673925975,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_medial_meniscus_circumferential_az_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,1.9987758969635885,301.86524229233174,4.31626017695321e-06,0.7448803165463911,0.03067770956134746,0.9905227832555736,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
"('bovine_medial_meniscus_circumferential_bc_01_yield.csv',)","John M Peloquin , Michael H Santare , Dawn M Elliott",10.1098/rsos.181166,7.278735612520269,699.846174252431,4.30349823943538e-05,0.38165901129598884,0.02835472591515419,0.9914530199700509,musculoskeletal,bovine,labanimal,other,UT,individual,Min-BC,trust-constr,"[1, 1, 1]","[[0, 1000], [-1000, 1000], [0, 1000]]",
